csg_id	title	author	year	publisher	link
1888	Congantóirí Sheáin Uí Dhálaigh	Ó Dálaigh, Seán	1852	(B.Á.C.: NUI, 1939)	http://corpas.ria.ie/index.php?fsg_function=5&fsg_id=1888
1897	Congantóirí Sheán Uí Dhálaigh	Anaithnid	1726	(B.Á.C.: NUI, 1940)	http://corpas.ria.ie/index.php?fsg_function=5&fsg_id=1897
3890	Contemporary Account in Irish of a Tithe Affray	de Barra, Dáibhí	1833	(B.Á.C.: A.R.É., 1960)	http://corpas.ria.ie/index.php?fsg_function=5&fsg_id=3890
1936	Cor na hÉigse		1670	(B.Á.C.: NUI, 1958-1961)	http://corpas.ria.ie/index.php?fsg_function=5&fsg_id=1936
2748	Cormac Ua Conaill	Ua Duinnín, Pádraig, An tAthair	1901	Connradh na Gaedhilge	http://corpas.ria.ie/index.php?fsg_function=5&fsg_id=2748
2557	Corraghliocas na mBan	de Barra, Dáibhí	1834	(B.Á.C.: An Clóchomhar Tta, 1991)	http://corpas.ria.ie/index.php?fsg_function=5&fsg_id=2557
3134	Cosa Buidhe Arda I	Mac Coluim, Fionán	1914	Fallamhain / Oifig an Lóchrainn	http://corpas.ria.ie/index.php?fsg_function=5&fsg_id=3134
3135	Cosa Buidhe Arda II	Mac Coluim, Fionán	1924	Brún & Ó Nóláin, Teor.	http://corpas.ria.ie/index.php?fsg_function=5&fsg_id=3135
4	Craobhscaoile Gearaltach in Éirinn	Ó Murchadha, Uilliam	1747	(B.Á.C.: Connradh na Gaedhilge, 1907)	http://corpas.ria.ie/index.php?fsg_function=5&fsg_id=4
3051	Craoibhín Ceoil, An	Craig, J. P.	1923	Craig, D. G. & Co.	http://corpas.ria.ie/index.php?fsg_function=5&fsg_id=3051
2031	Créacht do Dháil mé im Árthach Galair agus Baisteadh Oisín		1834	(B.Á.C.: NUI, 1999)	http://corpas.ria.ie/index.php?fsg_function=5&fsg_id=2031
2510	Crioch Deigheanach don duine	O'Sealbhaidh, Emun	1818	(B.Á.C.: 1818)	http://corpas.ria.ie/index.php?fsg_function=5&fsg_id=2510
4076	Cruach Chonaill	Seosamh Laoide	1913	Connradh na Gaedhilge	http://corpas.ria.ie/index.php?fsg_function=5&fsg_id=4076
4100	Cú na gCleas agus Scéalta Eile	Nic Néill, Íde / Ó Searcaigh, Séamus a chruinnigh	1915	Dundalgan Press	http://corpas.ria.ie/index.php?fsg_function=5&fsg_id=4100
2732	Cuireadh Mhaoil Uí Mhananáin	Anaithnid	1831	(B.Á.C.: Ollsgoil na hÉireann, 1930)	http://corpas.ria.ie/index.php?fsg_function=5&fsg_id=2732
2454	Cúirt an Mheon-Oíche	Merriman, Brian	1780	(B.Á.C.: An Clóchomhar Tta, 1982)	http://corpas.ria.ie/index.php?fsg_function=5&fsg_id=2454
3523	Cúirt na Dála agus Sgéal Eile	Ó Cuív, Shán	1918	Brún agus Ó Nualláin, Teor.	http://corpas.ria.ie/index.php?fsg_function=5&fsg_id=3523
3419	Cuisle na hÉigse	Éamon Cuirtéis	1920	Mártan Lester, Tta.	http://corpas.ria.ie/index.php?fsg_function=5&fsg_id=3419
3282	Cuntaisíocht	Ó Cadhlaigh, Cormac	1924	Brún & Nóláin	http://corpas.ria.ie/index.php?fsg_function=5&fsg_id=3282
412	Curadh Glas an Eolais	Tomás Bhid (Tommuny)	1905	Muintir na Leabhar Gaedhilge	http://corpas.ria.ie/index.php?fsg_function=5&fsg_id=412
1924	A Dedication and Poem by Charles Lynegar	Ó Luinín, Cormac	1727	(B.Á.C.: NUI, 1945)	http://corpas.ria.ie/index.php?fsg_function=5&fsg_id=1924
499	A Devotional Poem by Seán Máistir Ó Conaill	Ó Conaill, Seán	1791	(B.Á.C.: I.A.B., 1966)	http://corpas.ria.ie/index.php?fsg_function=5&fsg_id=499
4206	A Devotional Poem by Seán Máistir Ó Conaill	Seán Ó Conaill	1791	Institiúid Ardléinn Bhaile Átha Cliath	http://corpas.ria.ie/index.php?fsg_function=5&fsg_id=4206
4077	A Dialect of Donegal	Quiggan, E.C.	1906	Cambridge University Press	http://corpas.ria.ie/index.php?fsg_function=5&fsg_id=4077
2714	An Dochtúir	Ó Beirn, Séamus	1909	Gill, M. H.	http://corpas.ria.ie/index.php?fsg_function=5&fsg_id=2714
3546	An Dúthchas	Ní Chinnéide, Máire	1908	Connradh na Gaedhilge	http://corpas.ria.ie/index.php?fsg_function=5&fsg_id=3546
2221	Dáibhí Mac Pádruig Uí h-Iarlaighthe, cct.	Ó hIarlaithe, Dáibhí mac Phádraig	1752	(Má Nuad: Cuallacht Chuilm Cille, 1928)	http://corpas.ria.ie/index.php?fsg_function=5&fsg_id=2221
2183	Dán an tSaidhbhris	Mac Dáibhidh, Conall	1800	(B.Á.C.: Connradh Chuilm Naomhtha, 1911)	http://corpas.ria.ie/index.php?fsg_function=5&fsg_id=2183
3896	Dán ar an Chléir i bPríosún i mBaile Átha Cliath - 1708	Ó Neachtain, Seán	1708	(B.Á.C.: Browne & Nolan Ltd., 1958)	http://corpas.ria.ie/index.php?fsg_function=5&fsg_id=3896
1977	Dán ar Chath Eachroma	Anaithnid	1802	(B.Á.C.: NUI, 1973-1974)	http://corpas.ria.ie/index.php?fsg_function=5&fsg_id=1977
2034	Dán ar Mhurchadh Mac Briain Bhóraimhe agus Ríoghain Átha Cliath		1790	(B.Á.C.: NUI, 2000)	http://corpas.ria.ie/index.php?fsg_function=5&fsg_id=2034
3897	Dán ar Phádraig Mac Síomóin	Ó Gormáin, Muiris	1763	(B.Á.C.: Browne & Nolan Ltd., 1958)	http://corpas.ria.ie/index.php?fsg_function=5&fsg_id=3897
1955	Dán ar Shéafraidh Ó Donnchadha an Ghleanna		1643	(B.Á.C.: NUI, 1967-1968)	http://corpas.ria.ie/index.php?fsg_function=5&fsg_id=1955
3970	Dán Árais: As Duilleóig i gColáisde San Isidóir 'sa Róimh	Anaithnid	1654	(B.Á.C.: Cumann na Sagart nGaedhealach, 1921)	http://corpas.ria.ie/index.php?fsg_function=5&fsg_id=3970
3900	Dán do Mhuire Mháthar	Cuthbert Mhág Craith	1670	(Maigh Nuad: Cumann na Sagart, 1958)	http://corpas.ria.ie/index.php?fsg_function=5&fsg_id=3900
3182	Dán do Shan Proinsias	Anaithnid	1650	(B.Á.C.: Assisi Press, 1944)	http://corpas.ria.ie/index.php?fsg_function=5&fsg_id=3182
1931	Dan faoi Mhuirthéacht na Frainnce		1822	(B.Á.C.: NUI, 1953-1955)	http://corpas.ria.ie/index.php?fsg_function=5&fsg_id=1931
1943	Dán le hEón Ó Caoimh	Ó Caoimh, Eoghan	1707	(B.Á.C.: NUI, 1961-1963)	http://corpas.ria.ie/index.php?fsg_function=5&fsg_id=1943
2236	Dán Maoidhte	Ó Briain, Pól	1817	(Má Nuad: Cuallacht Chuilm Cille, 1931)	http://corpas.ria.ie/index.php?fsg_function=5&fsg_id=2236
2512	Dán na mBráthar Mionúr I	Cuthbert Mhág Craith	1614	(B.Á.C.: I.A.B., 1967)	http://corpas.ria.ie/index.php?fsg_function=5&fsg_id=2512
505	Dán Réitigh ó Fhearghal Óg Mac an Bhaird	Mac an Bhaird, Fearghal Óg	1600	(B.Á.C.: I.A.B., 1983)	http://corpas.ria.ie/index.php?fsg_function=5&fsg_id=505
2010	Dandaimín don Ridire Brianach	Buinneán, Uilliam	1750	(B.Á.C.: NUI, 1990)	http://corpas.ria.ie/index.php?fsg_function=5&fsg_id=2010
2215	Dánta (Irisleabhar Mhuighe Nuadhat)	Úghdar Áirighthe ar Dhearbhadh na h-Eaglaise	1709	(Má Nuad: Cuallacht Chuilm Cille, 1927)	http://corpas.ria.ie/index.php?fsg_function=5&fsg_id=2215
2583	Dánta Aindréis Mhic Cruitín	Mac Cruitín, Aindrias	1717	(Inis: The Clare Champion, 1935)	http://corpas.ria.ie/index.php?fsg_function=5&fsg_id=2583
