csg_id	title	author	year	publisher	link
6257	Seán Ó Gadhra, File - XVII.	Ó Gadhra, Seán	1907	Connradh na Gaedhilge	http://corpas.ria.ie/index.php?fsg_function=5&fsg_id=6257
6271	Seán Ó Gadhra, File - XVIII.	Ó Gadhra, Seán	1907	Connradh na Gaedhilge	http://corpas.ria.ie/index.php?fsg_function=5&fsg_id=6271
6284	Seán Ó Gadhra, File - XX.	Ó Gadhra, Seán	1907	Connradh na Gaedhilge	http://corpas.ria.ie/index.php?fsg_function=5&fsg_id=6284
6294	Seán Ó Gadhra, File - XXI.	Ó Gadhra, Seán	1907	Connradh na Gaedhilge	http://corpas.ria.ie/index.php?fsg_function=5&fsg_id=6294
6015	Seán Ó Gadhra, File.	Ní fios	1905	Connradh na Gaedhilge	http://corpas.ria.ie/index.php?fsg_function=5&fsg_id=6015
6282	Seán Strachan.	Féach ainm cleite	1907	Connradh na Gaedhilge	http://corpas.ria.ie/index.php?fsg_function=5&fsg_id=6282
1009	Sean-aimsireacht & Gaedhealtacht 'na nDéiseach	Ua Dálaigh, Pádraig	1902	An Claidheamh Soluis	http://corpas.ria.ie/index.php?fsg_function=5&fsg_id=1009
5638	Sean-amhrán ó'n Mumhain - Faithche Bhreágh Aorach an Cheoil.	Ó Buachalla, Micheál	1902	Connradh na Gaedhilge	http://corpas.ria.ie/index.php?fsg_function=5&fsg_id=5638
1414	Sean-bhraon na nGaedheal	Ní fios	1906	An Claidheamh Soluis	http://corpas.ria.ie/index.php?fsg_function=5&fsg_id=1414
5272	Sean-chaint.	Féach bailitheoir	1898	Connradh na Gaedhilge	http://corpas.ria.ie/index.php?fsg_function=5&fsg_id=5272
6065	Sean-fhocail. II.	Féach bailitheoir	1905	Connradh na Gaedhilge	http://corpas.ria.ie/index.php?fsg_function=5&fsg_id=6065
6081	Sean-fhocail. III.	Féach bailitheoir	1905	Connradh na Gaedhilge	http://corpas.ria.ie/index.php?fsg_function=5&fsg_id=6081
6087	Sean-fhocail. IV.	Ní fios	1905	Connradh na Gaedhilge	http://corpas.ria.ie/index.php?fsg_function=5&fsg_id=6087
